Samtala,,Sérheiti,Hlutverk,Tegund,X (A),Y (N),nakvaemni,Uppdrættir,Ljósmyndir,Skrásetjari á vettvangi,Dags,Skrásetjari á gagnagrunn,Dagsetning innsláttar,Sveitarfélagsnúmer
ÁR-007:003,,Mjósund,bústaður,bæjarhóll,415435,373916,2,,ÁR-007_003_V,RGG,23/05/11,ÁE,,
ÁR-007:004,,,bústaður,bæjarstæði,415481,373911,2,ÁR007-004,ÁR-007_004_N; ÁR-007_004_NA,RGG,23/05/11,ÁE,,
ÁR-007:005,,,beitarhús,frásögn,414925,373607,2,,,RGG,30/05/11,ÁE,,
ÁR-007:006,,,útihús,heimild,415437,374000,2,,,RGG,25/05/11,ÁE,,
ÁR-007:007,,,fjárhús,tóftir,415263,373897,2,ÁR007-007,ÁR-007_007a_SA;,RGG,23/05/11,ÁE,,
ÁR-007:013,,Smalaskáli,smalakofi,hleðsla,415076,371684,2,ÁR007-013,ÁR-007_013_SSV; ÁR-007_013_V,RGG,25/05/11,ÁE,,
ÁR-007:014,,,kálgarður,heimild,415535,374055,2,,,RGG,23/05/11,ÁE,,
ÁR-007:015,,,túngarður,heimild,415570,373929,2,,,RGG,23/05/11,ÁE,,
ÁR-007:016,,Húsadalur,óþekkt,frásögn,415436,374178,2,,,RGG,25/05/11,,,
ÁR-007:017,,,óþekkt,tóft,415124,374057,2,ÁR007-017,ÁR-007_017_NV,RGG,23/05/11,,,
ÁR-007:018,,,óþekkt,tóft,415069,374147,2,ÁR007_018,ÁR-007_018_S,RGG,23/05/11,,,
ÁR-007:019,,,leið,heimild,415366,374104,2,,,RGG,25/05/11,,,
ÁR-008:001,,Forsæti,bústaður,bæjarhóll,415446,373624,2,ÁR008-001,ÁR-008_001_S,RGG,30/05/11,SG,14/05/06,
ÁR-008:002,,,landamerki,garðlag,415542,373686,2,ÁR008-001,ÁR-008_002a_NV; ÁR-008_002a_S; ÁR-008_002b_NV,RGG,30/05/11,ÁE,,
ÁR-008:003,,,kálgarður,hleðsla,415438,373609,2,ÁR008-003,ÁR-008_003_N; ÁR-008_003-SSA,RGG,30/05/11,ÁE,,
ÁR-008:004,,,kálgarður,heimild,415459,373624,2,,,RGG,30/05/11,ÁE,,
